municipio,cases,deaths,recovered,download_Date,ccaa,poblacion,codmun
Camañas,2,0,1,2021-01-13,Aragón,NA,NA
Camarena de la Sierra,2,0,0,2021-01-13,Aragón,NA,NA
Camarillas,14,0,14,2021-01-13,Aragón,NA,NA
Caminreal,26,1,22,2021-01-13,Aragón,NA,NA
Campillo de Aragón,1,0,1,2021-01-13,Aragón,NA,NA
Campo,21,4,17,2021-01-13,Aragón,NA,NA
Camporrells,0,0,0,2021-01-13,Aragón,NA,NA
Cañada de Benatanduz,0,0,0,2021-01-13,Aragón,NA,NA
Cañada Vellida,0,0,0,2021-01-13,Aragón,NA,NA
Canal de Berdún,0,0,0,2021-01-13,Aragón,NA,NA
Candasnos,2,0,2,2021-01-13,Aragón,NA,NA
Canfranc,9,0,7,2021-01-13,Aragón,NA,NA
Cañizar del Olivar,1,0,1,2021-01-13,Aragón,NA,NA
Cantavieja,20,0,9,2021-01-13,Aragón,NA,NA
Capdesaso,3,0,0,2021-01-13,Aragón,NA,NA
Capella,7,1,6,2021-01-13,Aragón,NA,NA
Carenas,2,0,2,2021-01-13,Aragón,NA,NA
Cariñena,181,17,148,2021-01-13,Aragón,NA,NA
Casbas de Huesca,11,1,9,2021-01-13,Aragón,NA,NA
Cascante del Río,5,0,5,2021-01-13,Aragón,NA,NA
Caspe,715,12,671,2021-01-13,Aragón,NA,NA
Castejón de Alarba,3,0,3,2021-01-13,Aragón,NA,NA
Castejón de las Armas,0,0,0,2021-01-13,Aragón,NA,NA
Castejón de Monegros,8,2,6,2021-01-13,Aragón,NA,NA
Castejón de Sos,38,3,34,2021-01-13,Aragón,NA,NA
Castejón de Tornos,1,0,1,2021-01-13,Aragón,NA,NA
Castejón de Valdejasa,10,0,7,2021-01-13,Aragón,NA,NA
Castejón del Puente,11,0,10,2021-01-13,Aragón,NA,NA
Castel de Cabra,4,0,3,2021-01-13,Aragón,NA,NA
Castelflorite,2,0,2,2021-01-13,Aragón,NA,NA
Castellote,25,1,24,2021-01-13,Aragón,NA,NA
Castelnou,25,1,24,2021-01-13,Aragón,NA,NA
Castelserás,4,0,4,2021-01-13,Aragón,NA,NA
Castiello de Jaca,47,0,45,2021-01-13,Aragón,NA,NA
Castigaleu,0,0,0,2021-01-13,Aragón,NA,NA
Castiliscar,5,0,5,2021-01-13,Aragón,NA,NA
Castillazuelo,5,0,5,2021-01-13,Aragón,NA,NA
Almería,24983,317,19112,2021-01-13,Andalucia,716820,NA
Almería (distrito),10632,128,7601,2021-01-13,Andalucia,301623,NA
Abla,24,0,16,2021-01-13,Andalucia,1249,NA
Abrucena,37,1,34,2021-01-13,Andalucia,1202,NA
Alboloduy,3,0,3,2021-01-13,Andalucia,616,NA
Alcudia de Monteagud,NA,NA,NA,2021-01-13,Andalucia,152,NA
Alhabia,11,0,11,2021-01-13,Andalucia,671,NA
Alhama de Almería,138,0,79,2021-01-13,Andalucia,3641,NA
Alicún,NA,NA,NA,2021-01-13,Andalucia,206,NA
Almería (capital),7528,85,5525,2021-01-13,Andalucia,198533,NA
Almócita,1,1,0,2021-01-13,Andalucia,169,NA
Alsodux,1,0,1,2021-01-13,Andalucia,125,NA
Beires,4,0,4,2021-01-13,Andalucia,110,NA
Benahadux,139,0,91,2021-01-13,Andalucia,4382,NA
Benitagla,NA,NA,NA,2021-01-13,Andalucia,58,NA
Benizalón,1,0,1,2021-01-13,Andalucia,254,NA
Bentarique,6,0,6,2021-01-13,Andalucia,238,NA
Canjáyar,11,1,7,2021-01-13,Andalucia,1214,NA
Carboneras,194,1,91,2021-01-13,Andalucia,8004,NA
Castro de Filabres,1,0,1,2021-01-13,Andalucia,123,NA
Fiñana,92,1,37,2021-01-13,Andalucia,1994,NA
Gádor,121,0,44,2021-01-13,Andalucia,3012,NA
Gérgal,9,2,6,2021-01-13,Andalucia,1030,NA
Huécija,12,0,8,2021-01-13,Andalucia,480,NA
Huércal de Almería,528,3,386,2021-01-13,Andalucia,17651,NA
Íllar,56,12,37,2021-01-13,Andalucia,394,NA
Instinción,6,0,6,2021-01-13,Andalucia,448,NA
Lubrín,34,0,33,2021-01-13,Andalucia,1477,NA
Lucainena de las Torres,NA,NA,NA,2021-01-13,Andalucia,538,NA
Nacimiento,3,0,3,2021-01-13,Andalucia,495,NA
Níjar,1205,13,870,2021-01-13,Andalucia,30663,NA
Ohanes,6,0,4,2021-01-13,Andalucia,580,NA
Olula de Castro,1,0,1,2021-01-13,Andalucia,196,NA
Padules,15,0,13,2021-01-13,Andalucia,410,NA
Pechina,84,1,51,2021-01-13,Andalucia,4037,NA
Rágol,15,2,11,2021-01-13,Andalucia,316,NA
Rioja,23,0,12,2021-01-13,Andalucia,1417,NA
Santa Cruz de Marchena,3,0,2,2021-01-13,Andalucia,208,NA
Santa Fe de Mondújar,10,0,10,2021-01-13,Andalucia,452,NA
Senés,NA,NA,NA,2021-01-13,Andalucia,295,NA
Sorbas,32,0,7,2021-01-13,Andalucia,2388,NA
Tabernas,54,0,43,2021-01-13,Andalucia,3688,NA
Tahal,5,0,5,2021-01-13,Andalucia,362,NA
Terque,33,4,28,2021-01-13,Andalucia,377,NA
Tres Villas (Las),7,0,6,2021-01-13,Andalucia,568,NA
Turrillas,1,0,0,2021-01-13,Andalucia,240,NA
Uleila del Campo,6,0,5,2021-01-13,Andalucia,833,NA
Velefique,NA,NA,NA,2021-01-13,Andalucia,242,NA
Viator,172,1,103,2021-01-13,Andalucia,5885,NA
Levante-Alto Almanzora,5238,79,4017,2021-01-13,Andalucia,150044,NA
Albanchez,8,0,7,2021-01-13,Andalucia,741,NA
Albox,518,6,358,2021-01-13,Andalucia,11805,NA
Alcóntar,9,0,9,2021-01-13,Andalucia,505,NA
Antas,114,3,97,2021-01-13,Andalucia,3182,NA
Arboleas,145,3,89,2021-01-13,Andalucia,4596,NA
Armuña de Almanzora,12,0,10,2021-01-13,Andalucia,302,NA
Bacares,34,6,26,2021-01-13,Andalucia,246,NA
Bayarque,2,0,2,2021-01-13,Andalucia,215,NA
Bédar,12,0,9,2021-01-13,Andalucia,971,NA
Cantoria,44,1,33,2021-01-13,Andalucia,3204,NA
Chercos,NA,NA,NA,2021-01-13,Andalucia,278,NA
Chirivel,124,1,70,2021-01-13,Andalucia,1472,NA
Cóbdar,2,0,2,2021-01-13,Andalucia,171,NA
Cuevas del Almanzora,504,6,404,2021-01-13,Andalucia,14081,NA
Fines,42,0,32,2021-01-13,Andalucia,2079,NA
Gallardos (Los),130,1,80,2021-01-13,Andalucia,2794,NA
Garrucha,245,1,197,2021-01-13,Andalucia,9212,NA
Huércal-Overa,750,7,677,2021-01-13,Andalucia,19127,NA
Laroya,NA,NA,NA,2021-01-13,Andalucia,192,NA
Líjar,10,1,8,2021-01-13,Andalucia,390,NA
Lúcar,32,0,31,2021-01-13,Andalucia,763,NA
Macael,139,7,91,2021-01-13,Andalucia,5482,NA
María,94,0,51,2021-01-13,Andalucia,1238,NA
Mojácar,229,2,165,2021-01-13,Andalucia,6403,NA
Olula del Río,125,0,97,2021-01-13,Andalucia,6210,NA
Oria,27,0,11,2021-01-13,Andalucia,2249,NA
Partaloa,20,0,4,2021-01-13,Andalucia,1110,NA
Pulpí,462,3,407,2021-01-13,Andalucia,10055,NA
Purchena,20,1,14,2021-01-13,Andalucia,1618,NA
Serón,34,1,21,2021-01-13,Andalucia,2041,NA
Sierro,8,0,8,2021-01-13,Andalucia,381,NA
Somontín,5,0,5,2021-01-13,Andalucia,446,NA
Suflí,NA,NA,NA,2021-01-13,Andalucia,204,NA
Taberno,9,1,4,2021-01-13,Andalucia,925,NA
Tíjola,53,0,50,2021-01-13,Andalucia,3541,NA
Turre,124,2,98,2021-01-13,Andalucia,3549,NA
Urrácal,1,0,1,2021-01-13,Andalucia,350,NA
Vélez-Blanco,56,2,42,2021-01-13,Andalucia,1904,NA
Vélez-Rubio,397,17,228,2021-01-13,Andalucia,6555,NA
Vera,627,6,515,2021-01-13,Andalucia,16452,NA
Zurgena,71,1,64,2021-01-13,Andalucia,3005,NA
Poniente de Almería,8928,108,7383,2021-01-13,Andalucia,265153,NA
Adra,1030,15,787,2021-01-13,Andalucia,25148,NA
Alcolea,7,0,7,2021-01-13,Andalucia,825,NA
Balanegra,82,0,73,2021-01-13,Andalucia,3009,NA
Bayárcal,3,0,2,2021-01-13,Andalucia,317,NA
Berja,280,4,237,2021-01-13,Andalucia,12415,NA
Dalías,76,3,68,2021-01-13,Andalucia,4006,NA
Ejido (El),3236,27,2753,2021-01-13,Andalucia,83594,NA
Enix,1,1,0,2021-01-13,Andalucia,466,NA
Felix,11,0,10,2021-01-13,Andalucia,628,NA
Fondón,4,0,4,2021-01-13,Andalucia,989,NA
Láujar de Andarax,36,0,23,2021-01-13,Andalucia,1536,NA
Mojonera (La),378,3,331,2021-01-13,Andalucia,9021,NA
Paterna del Río,NA,NA,NA,2021-01-13,Andalucia,371,NA
Roquetas de Mar,2864,41,2322,2021-01-13,Andalucia,96800,NA
Vícar,920,14,766,2021-01-13,Andalucia,26028,NA
Municipio de Almería sin especificar,185,2,111,2021-01-13,Andalucia,NA,NA
Cádiz,37599,624,27715,2021-01-13,Andalucia,1240155,NA
Campo de Gibraltar,9162,139,5873,2021-01-13,Andalucia,270879,NA
Algeciras,3895,78,3008,2021-01-13,Andalucia,121957,NA
Barrios (Los),554,12,357,2021-01-13,Andalucia,23642,NA
Castellar de la Frontera,105,1,63,2021-01-13,Andalucia,3049,NA
Jimena de la Frontera,113,1,81,2021-01-13,Andalucia,6951,NA
Línea de la Concepción (La),2859,23,1264,2021-01-13,Andalucia,63147,NA
San Martín del Tesorillo,73,0,50,2021-01-13,Andalucia,2753,NA
San Roque,1042,12,641,2021-01-13,Andalucia,31218,NA
Tarifa,521,12,409,2021-01-13,Andalucia,18162,NA
Bahía de Cádiz-La Janda,11646,182,8978,2021-01-13,Andalucia,512524,NA
Alcalá de los Gazules,75,0,71,2021-01-13,Andalucia,5219,NA
Barbate,695,11,568,2021-01-13,Andalucia,22518,NA
Benalup-Casas Viejas,47,0,36,2021-01-13,Andalucia,6929,NA
Cádiz (capital),2731,34,2139,2021-01-13,Andalucia,116027,NA
Chiclana de la Frontera,1821,31,1354,2021-01-13,Andalucia,84489,NA
Conil de la Frontera,445,2,301,2021-01-13,Andalucia,22529,NA
Medina Sidonia,129,0,104,2021-01-13,Andalucia,11708,NA
Paterna de Rivera,187,5,166,2021-01-13,Andalucia,5470,NA
Puerto de Santa María (El),2066,31,1776,2021-01-13,Andalucia,88405,NA
Puerto Real,756,10,566,2021-01-13,Andalucia,41627,NA
San Fernando,2447,55,1691,2021-01-13,Andalucia,94979,NA
Vejer de la Frontera,247,3,206,2021-01-13,Andalucia,12624,NA
Jerez-Costa Noroeste,11541,188,8338,2021-01-13,Andalucia,341111,NA
Chipiona,361,2,249,2021-01-13,Andalucia,19123,NA
Jerez de la Frontera,8206,167,5944,2021-01-13,Andalucia,212749,NA
Rota,353,3,207,2021-01-13,Andalucia,29109,NA
San José del Valle,145,2,106,2021-01-13,Andalucia,4418,NA
Sanlúcar de Barrameda,2156,9,1601,2021-01-13,Andalucia,68684,NA
Trebujena,320,5,231,2021-01-13,Andalucia,7028,NA
Sierra de Cádiz,3825,91,3267,2021-01-13,Andalucia,115641,NA
Alcalá del Valle,341,18,314,2021-01-13,Andalucia,5046,NA
Algar,55,1,51,2021-01-13,Andalucia,1413,NA
Algodonales,97,4,80,2021-01-13,Andalucia,5550,NA
Arcos de la Frontera,1284,26,1065,2021-01-13,Andalucia,30700,NA
Benaocaz,10,0,8,2021-01-13,Andalucia,671,NA
Bornos,162,4,136,2021-01-13,Andalucia,7670,NA
Bosque (El),25,1,23,2021-01-13,Andalucia,2145,NA
Espera,104,2,96,2021-01-13,Andalucia,3860,NA
Gastor (El),54,2,48,2021-01-13,Andalucia,1752,NA
Grazalema,92,0,80,2021-01-13,Andalucia,2027,NA
Olvera,210,2,179,2021-01-13,Andalucia,8113,NA
Prado del Rey,129,2,107,2021-01-13,Andalucia,5605,NA
Puerto Serrano,110,1,97,2021-01-13,Andalucia,6941,NA
Setenil de las Bodegas,83,7,60,2021-01-13,Andalucia,2769,NA
Torre Alháquime,9,0,7,2021-01-13,Andalucia,790,NA
Ubrique,438,10,364,2021-01-13,Andalucia,16597,NA
Villaluenga del Rosario,17,0,16,2021-01-13,Andalucia,455,NA
Villamartín,586,10,520,2021-01-13,Andalucia,12150,NA
Zahara,19,1,16,2021-01-13,Andalucia,1387,NA
Municipio de Cádiz sin especificar,1425,24,1259,2021-01-13,Andalucia,NA,NA
NA,NA,NA,NA,2021-01-13,Andalucia,NA,NA
Notas:,NA,NA,NA,2021-01-13,Andalucia,NA,NA
NA,NA,NA,NA,2021-01-13,Andalucia,NA,NA
NA,NA,NA,NA,2021-01-13,Andalucia,NA,NA
Córdoba,29080,584,23584,2021-01-13,Andalucia,786635,NA
Córdoba (distrito),12262,225,10091,2021-01-13,Andalucia,325701,NA
Córdoba (capital),12262,225,10091,2021-01-13,Andalucia,325701,NA
Córdoba Sur,10324,223,8672,2021-01-13,Andalucia,261145,NA
Aguilar de la Frontera,738,18,650,2021-01-13,Andalucia,13328,NA
Almedinilla,78,5,67,2021-01-13,Andalucia,2391,NA
Baena,790,21,546,2021-01-13,Andalucia,19284,NA
Benamejí,348,3,196,2021-01-13,Andalucia,4966,NA
Cabra,690,15,612,2021-01-13,Andalucia,20341,NA
Carcabuey,38,1,35,2021-01-13,Andalucia,2412,NA
Castro del Río,184,5,163,2021-01-13,Andalucia,7809,NA
Doña Mencía,140,0,134,2021-01-13,Andalucia,4638,NA
Encinas Reales,76,1,72,2021-01-13,Andalucia,2254,NA
Espejo,85,0,75,2021-01-13,Andalucia,3329,NA
Fernán-Núñez,366,5,316,2021-01-13,Andalucia,9663,NA
Fuente-Tójar,30,1,27,2021-01-13,Andalucia,672,NA
Guijarrosa (La),19,1,17,2021-01-13,Andalucia,1399,NA
Iznájar,98,7,74,2021-01-13,Andalucia,4261,NA
Lucena,2280,30,2007,2021-01-13,Andalucia,42605,NA
Luque,176,2,151,2021-01-13,Andalucia,2994,NA
Montalbán de Córdoba,254,2,244,2021-01-13,Andalucia,4489,NA
Montemayor,115,2,105,2021-01-13,Andalucia,3855,NA
Montilla,706,15,580,2021-01-13,Andalucia,22859,NA
Monturque,28,0,27,2021-01-13,Andalucia,1958,NA
Moriles,190,4,176,2021-01-13,Andalucia,3717,NA
Nueva Carteya,188,0,144,2021-01-13,Andalucia,5379,NA
Palenciana,65,1,61,2021-01-13,Andalucia,1478,NA
Priego de Córdoba,848,25,736,2021-01-13,Andalucia,22408,NA
Puente Genil,989,36,849,2021-01-13,Andalucia,30048,NA
Rambla (La),231,1,213,2021-01-13,Andalucia,7493,NA
Rute,508,21,336,2021-01-13,Andalucia,9845,NA
Santaella,43,1,36,2021-01-13,Andalucia,4629,NA
Zuheros,23,0,23,2021-01-13,Andalucia,641,NA
Guadalquivir,3710,77,3060,2021-01-13,Andalucia,124207,NA
Adamuz,153,2,137,2021-01-13,Andalucia,4192,NA
Almodóvar del Río,296,3,278,2021-01-13,Andalucia,7937,NA
Bujalance,222,2,200,2021-01-13,Andalucia,7417,NA
Cañete de las Torres,78,2,44,2021-01-13,Andalucia,2933,NA
Carlota (La),250,6,209,2021-01-13,Andalucia,14061,NA
Carpio (El),216,5,136,2021-01-13,Andalucia,4383,NA
Fuente Carreteros,27,1,22,2021-01-13,Andalucia,1131,NA
Fuente Palmera,144,1,126,2021-01-13,Andalucia,9783,NA
Guadalcázar,38,1,35,2021-01-13,Andalucia,1583,NA
Hornachuelos,74,1,47,2021-01-13,Andalucia,4497,NA
Montoro,380,22,316,2021-01-13,Andalucia,9364,NA
Obejo,20,1,12,2021-01-13,Andalucia,2011,NA
Palma del Río,769,16,599,2021-01-13,Andalucia,21064,NA
Pedro Abad,77,0,68,2021-01-13,Andalucia,2837,NA
Peñaflor,101,1,74,2021-01-13,Andalucia,3656,NA
Posadas,159,4,120,2021-01-13,Andalucia,7325,NA
San Sebastián de los Ballesteros,12,0,9,2021-01-13,Andalucia,808,NA
Valenzuela,41,0,40,2021-01-13,Andalucia,1131,NA
Victoria (La),32,0,27,2021-01-13,Andalucia,2271,NA
Villa del Río,436,6,393,2021-01-13,Andalucia,7104,NA
Villafranca de Córdoba,101,0,96,2021-01-13,Andalucia,4871,NA
Villaharta,6,1,3,2021-01-13,Andalucia,619,NA
Villaviciosa de Córdoba,78,2,69,2021-01-13,Andalucia,3229,NA
Córdoba Norte,2741,59,1727,2021-01-13,Andalucia,75582,NA
Alcaracejos,28,1,22,2021-01-13,Andalucia,1486,NA
Añora,168,0,13,2021-01-13,Andalucia,1527,NA
Belalcázar,192,11,155,2021-01-13,Andalucia,3255,NA
Belmez,108,3,66,2021-01-13,Andalucia,2923,NA
